"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",3.8,
"JPN","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",4,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",3.6,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",3.8,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",4.3,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",4.9,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",4.2,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",3.7,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",3.4,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",3.5,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",3.8,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",3.3,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",3.5,
"JPN","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",3.6,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",7.867945,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",7.231057,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",6.770089,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",7.203496,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",7.746273,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",6.634655,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",5.560189,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",5.648114,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",6.121397,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",4.446145,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",6.291131,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",6.218207,
"KOR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-11",6.529721,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",5.459851,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",4.54088,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",5.673884,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",5.722492,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",5.406484,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",4.454922,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",4.931508,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",5.375883,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",5.732475,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",4.463527,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",6.324019,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",5.26891,
"KOR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-11",6.260386,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",9.1,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",8.1,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",9,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",9.2,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",7.9,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",6.9,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",8,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",8.3,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",8.7,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",9.9,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",9.6,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",9.9,
"USA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-11",8.7,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",7.2,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",8.3,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",7,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",7,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",7,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",6,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",6.8,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",6.6,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",7.3,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",7.3,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",7.1,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",7.8,
"USA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-11",7.4,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",21.4,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",21.4,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",21,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",21,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",21,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",21,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",21,
"ITA","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",21,
"EA19","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",14.7,
"EA19","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",14.6,
"EA19","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",14.7,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",15,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",15,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",15.2,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",15.3,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",15.4,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",15.6,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",15.9,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",15.9,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-07",16.3,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-08",16.3,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-09",16,
"FRA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-10",16.3,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",24.9,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",24.9,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",24.8,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",24.8,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",24.8,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",25.4,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",25.4,
"ITA","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",25.4,
"EA19","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",14.3,
"EA19","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",14,
"EA19","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",14.2,
"GBR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-11",8.7,
"GBR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2022-12",8.5,
"GBR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-01",9,
"GBR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-02",9.6,
"GBR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-03",9,
"GBR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-04",8.3,
"GBR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-05",9.8,
"GBR","YOUTHUNEMP","WOMEN","PC_YOUTHLF","M","2023-06",9.5,
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",10.83357,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",10.53685,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",10.76617,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",10.72858,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",10.26733,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",10.21044,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",10.3741,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",10.65059,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",10.85644,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",11.02834,"E"
"OECD","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",11.02491,"E"
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",13.7,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",15.3,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",15.9,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",15.1,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",15,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",15.2,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",14.2,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",15.1,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",15.1,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",14.2,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",14.1,
"TUR","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-10",13.8,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-11",6.2,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2022-12",6.3,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-01",6.3,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-02",6.3,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-03",6.3,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-04",6.3,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-05",6.3,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-06",6.3,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-07",6.2,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-08",6.2,
"DEU","YOUTHUNEMP","MEN","PC_YOUTHLF","M","2023-09",6.2,
